[2025-02-02T20:39:20.197+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T20:39:20.214+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.222+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.224+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2025-02-02T20:39:20.238+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): load_data_into_duckdb> on 2025-02-02 20:39:13.519752+00:00
[2025-02-02T20:39:20.244+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3550) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T20:39:20.246+0000] {standard_task_runner.py:72} INFO - Started process 3582 to run task
[2025-02-02T20:39:23.081+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a9ee7e', 'callsign': 'N739WR  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528750, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 37.86, 'true_track': 53.29, 'vertical_rate': 4.23, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.133+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a20134', 'callsign': 'N2281   ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528754, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 65.58, 'true_track': 19.71, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.306+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '4ac9e7', 'callsign': '', 'origin_country': 'Sweden', 'time_position': None, 'last_contact': 1738528712, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 71.88, 'true_track': 14.93, 'vertical_rate': 16.91, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.476+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '896480', 'callsign': '', 'origin_country': 'United Arab Emirates', 'time_position': None, 'last_contact': 1738528722, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 287.08, 'true_track': 89.28, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.566+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e06543', 'callsign': 'ARG1207 ', 'origin_country': 'Argentina', 'time_position': None, 'last_contact': 1738528621, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 246.6, 'true_track': 227.96, 'vertical_rate': 6.5, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.626+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e49641', 'callsign': 'AZU4349 ', 'origin_country': 'Brazil', 'time_position': None, 'last_contact': 1738528754, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 195.11, 'true_track': 279.56, 'vertical_rate': 0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.642+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '888173', 'callsign': '', 'origin_country': 'Viet Nam', 'time_position': None, 'last_contact': 1738528753, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 260.29, 'true_track': 69.52, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.780+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7cf085', 'callsign': '        ', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528473, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 3.34, 'true_track': 348.75, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.810+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'ac98d5', 'callsign': 'XGN1    ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528738, 'longitude': None, 'latitude': None, 'baro_altitude': 11521.44, 'on_ground': False, 'velocity': 150.72, 'true_track': 209.89, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': 11788.14, 'squawk': None, 'spi': True, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.894+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'aa3f68', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528754, 'longitude': None, 'latitude': None, 'baro_altitude': 0, 'on_ground': False, 'velocity': 34.21, 'true_track': 257.85, 'vertical_rate': 4.88, 'sensors': None, 'geo_altitude': None, 'squawk': '4202', 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.948+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '60084e', 'callsign': 'AHY809  ', 'origin_country': 'Azerbaijan', 'time_position': None, 'last_contact': 1738528578, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 1856.13, 'true_track': 98.54, 'vertical_rate': -7.48, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.052+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '05a05a', 'callsign': 'DQA708  ', 'origin_country': 'Maldives', 'time_position': None, 'last_contact': 1738528670, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 117.31, 'true_track': 70.53, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.154+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'aa830f', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528744, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0, 'true_track': 270, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.181+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7c78ac', 'callsign': 'QJE1522 ', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528501, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0.06, 'true_track': 188.44, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.308+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a81b3a', 'callsign': 'N621PA  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528746, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 38.71, 'true_track': 175.43, 'vertical_rate': -1.3, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.447+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e493d1', 'callsign': 'AZU8781 ', 'origin_country': 'Brazil', 'time_position': None, 'last_contact': 1738528755, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 226.04, 'true_track': 30.65, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
